borough,neighbourhood,listings,avg_total_price,avg_review_rate
Brooklyn,Gerritsen Beach,3,833.0,4.333333333333333
Manhattan,Bushwick,3,827.3333333333334,4.0
Staten Island,Willowbrook,3,765.6666666666666,2.0
Staten Island,Rossville,3,360.6666666666667,3.0
Staten Island,Lighthouse Hill,3,129.0,2.6666666666666665
Staten Island,Fort Wadsworth,2,1229.0,2.0
Manhattan,Prospect Heights,2,911.5,3.0
Manhattan,Clinton Hill,2,794.0,2.0
Queens,Glen Oaks,2,660.5,4.5
Staten Island,"Chelsea, Staten Island",1,1250.0,2.0
Manhattan,Bedford-Stuyvesant,1,1199.0,1.0
Manhattan,Eastchester,1,1091.0,4.0
Manhattan,Queens Village,1,805.0,5.0
Manhattan,Woodside,1,65.0,2.0
